yourlist:M20200510216DA2B77BFBD2E6699CA9B6D1C41EB286EFE0C	Entry	Entry name	Status	Protein names	Gene names	Organism	Length
P57054-2	P57054	PIGP_HUMAN	reviewed	Phosphatidylinositol N-acetylglucosaminyltransferase subunit P (EC 2.4.1.198) (Down syndrome critical region protein 5) (Down syndrome critical region protein C) (Phosphatidylinositol-glycan biosynthesis class P protein) (PIG-P)	PIGP DCRC DSCR5 DSCRC NPD010	Homo sapiens (Human)	158
Q63HR2-5	Q63HR2	TNS2_HUMAN	reviewed	Tensin-2 (EC 3.1.3.48) (C1 domain-containing phosphatase and tensin homolog) (C1-TEN) (Tensin-like C1 domain-containing phosphatase)	TNS2 KIAA1075 TENC1	Homo sapiens (Human)	1409
O43167-1	O43167	ZBT24_HUMAN	reviewed	Zinc finger and BTB domain-containing protein 24 (Zinc finger protein 450)	ZBTB24 KIAA0441 ZNF450	Homo sapiens (Human)	697
O75146-1	O75146	HIP1R_HUMAN	reviewed	Huntingtin-interacting protein 1-related protein (HIP1-related protein) (Huntingtin-interacting protein 12) (HIP-12)	HIP1R HIP12 KIAA0655	Homo sapiens (Human)	1068
P61964	P61964	WDR5_HUMAN	reviewed	WD repeat-containing protein 5 (BMP2-induced 3-kb gene protein)	WDR5 BIG3	Homo sapiens (Human)	334
Q6L8H2	Q6L8H2	KRA53_HUMAN	reviewed	Keratin-associated protein 5-3 (Keratin-associated protein 5-9) (Keratin-associated protein 5.3) (Keratin-associated protein 5.9) (UHS KerB-like) (Ultrahigh sulfur keratin-associated protein 5.3)	KRTAP5-3 KAP5-9 KAP5.3 KRTAP5-9 KRTAP5.3 KRTAP5.9	Homo sapiens (Human)	238
I3L0A0	I3L0A0	I3L0A0_HUMAN	unreviewed	HCG2044781 (TMEM189-UBE2V1 readthrough)	TMEM189-UBE2V1 hCG_2044781	Homo sapiens (Human)	370
A1L4K1-1	A1L4K1	FSD2_HUMAN	reviewed	Fibronectin type III and SPRY domain-containing protein 2 (SPRY domain-containing protein 1)	FSD2 SPRYD1	Homo sapiens (Human)	749
Q8N386	Q8N386	LRC25_HUMAN	reviewed	Leucine-rich repeat-containing protein 25 (Monocyte and plasmacytoid-activated protein)	LRRC25 MAPA UNQ6169/PRO20174	Homo sapiens (Human)	305
Q86Y26-1	Q86Y26	NUTM1_HUMAN	reviewed	NUT family member 1 (Nuclear protein in testis)	NUTM1 C15orf55 NUT	Homo sapiens (Human)	1132
Q96Q45-2	Q96Q45	TM237_HUMAN	reviewed	Transmembrane protein 237 (Amyotrophic lateral sclerosis 2 chromosomal region candidate gene 4 protein)	TMEM237 ALS2CR4	Homo sapiens (Human)	408
Q99750	Q99750	MDFI_HUMAN	reviewed	MyoD family inhibitor (Myogenic repressor I-mf)	MDFI	Homo sapiens (Human)	246
Q8N5I4	Q8N5I4	DHRSX_HUMAN	reviewed	Dehydrogenase/reductase SDR family member on chromosome X (EC 1.1.-.-) (DHRSXY) (Short chain dehydrogenase/reductase family 46C member 1) (Short chain dehydrogenase/reductase family 7C member 6)	DHRSX CXorf11 DHRS5X SDR46C1 SDR7C6 UNQ6508/PRO21433	Homo sapiens (Human)	330
O75382-1	O75382	TRIM3_HUMAN	reviewed	Tripartite motif-containing protein 3 (Brain-expressed RING finger protein) (RING finger protein 22) (RING finger protein 97)	TRIM3 BERP RNF22 RNF97	Homo sapiens (Human)	744
P25791-1	P25791	RBTN2_HUMAN	reviewed	Rhombotin-2 (Cysteine-rich protein TTG-2) (LIM domain only protein 2) (LMO-2) (T-cell translocation protein 2)	LMO2 RBTN2 RBTNL1 RHOM2 TTG2	Homo sapiens (Human)	158
Q13099-2	Q13099	IFT88_HUMAN	reviewed	Intraflagellar transport protein 88 homolog (Recessive polycystic kidney disease protein Tg737 homolog) (Tetratricopeptide repeat protein 10) (TPR repeat protein 10)	IFT88 TG737 TTC10	Homo sapiens (Human)	833
A0A087WY89	A0A087WY89	A0A087WY89_HUMAN	unreviewed	Keratin-associated protein 4-1	KRTAP4-1	Homo sapiens (Human)	127
Q86WV8	Q86WV8	Q86WV8_HUMAN	unreviewed	Hamartin (Tuberous sclerosis 1)	TSC1	Homo sapiens (Human)	366
P36406-1	P36406	TRI23_HUMAN	reviewed	E3 ubiquitin-protein ligase TRIM23 (EC 2.3.2.27) (ADP-ribosylation factor domain-containing protein 1) (GTP-binding protein ARD-1) (RING finger protein 46) (RING-type E3 ubiquitin transferase TRIM23) (Tripartite motif-containing protein 23)	TRIM23 ARD1 ARFD1 RNF46	Homo sapiens (Human)	574
Q3LHN2	Q3LHN2	KR192_HUMAN	reviewed	Keratin-associated protein 19-2	KRTAP19-2 KAP19.2	Homo sapiens (Human)	52
O75841	O75841	UPK1B_HUMAN	reviewed	Uroplakin-1b (UP1b) (Tetraspanin-20) (Tspan-20) (Uroplakin Ib) (UPIb)	UPK1B TSPAN20	Homo sapiens (Human)	260
Q6P1W5-2	Q6P1W5	CA094_HUMAN	reviewed	Uncharacterized protein C1orf94	C1orf94	Homo sapiens (Human)	598
Q3LI66	Q3LI66	KRA62_HUMAN	reviewed	Keratin-associated protein 6-2	KRTAP6-2 KAP6.2	Homo sapiens (Human)	62
O75800-1	O75800	ZMY10_HUMAN	reviewed	Zinc finger MYND domain-containing protein 10 (Protein BLu)	ZMYND10 BLU LUCA12.4	Homo sapiens (Human)	440
P17482	P17482	HXB9_HUMAN	reviewed	Homeobox protein Hox-B9 (Homeobox protein Hox-2.5) (Homeobox protein Hox-2E)	HOXB9 HOX2E	Homo sapiens (Human)	250
P60201-2	P60201	MYPR_HUMAN	reviewed	Myelin proteolipid protein (PLP) (Lipophilin)	PLP1 PLP	Homo sapiens (Human)	277
Q9BYQ3	Q9BYQ3	KRA93_HUMAN	reviewed	Keratin-associated protein 9-3 (Keratin-associated protein 9.3) (Ultrahigh sulfur keratin-associated protein 9.3)	KRTAP9-3 KAP9.3 KRTAP9.3	Homo sapiens (Human)	159
O15160-1	O15160	RPAC1_HUMAN	reviewed	DNA-directed RNA polymerases I and III subunit RPAC1 (DNA-directed RNA polymerase I subunit C) (RNA polymerases I and III subunit AC1) (AC40) (DNA-directed RNA polymerases I and III 40 kDa polypeptide) (RPA40) (RPA39) (RPC40)	POLR1C POLR1E	Homo sapiens (Human)	346
Q8IZP0-5	Q8IZP0	ABI1_HUMAN	reviewed	Abl interactor 1 (Abelson interactor 1) (Abi-1) (Abl-binding protein 4) (AblBP4) (Eps8 SH3 domain-binding protein) (Eps8-binding protein) (Nap1-binding protein) (Nap1BP) (Spectrin SH3 domain-binding protein 1) (e3B1)	ABI1 SSH3BP1	Homo sapiens (Human)	508
Q96FW1-1	Q96FW1	OTUB1_HUMAN	reviewed	Ubiquitin thioesterase OTUB1 (EC 3.4.19.12) (Deubiquitinating enzyme OTUB1) (OTU domain-containing ubiquitin aldehyde-binding protein 1) (Otubain-1) (hOTU1) (Ubiquitin-specific-processing protease OTUB1)	OTUB1 OTB1 OTU1 HSPC263	Homo sapiens (Human)	271
P09601	P09601	HMOX1_HUMAN	reviewed	Heme oxygenase 1 (HO-1) (EC 1.14.14.18)	HMOX1 HO HO1	Homo sapiens (Human)	288
P07098-1	P07098	LIPG_HUMAN	reviewed	Gastric triacylglycerol lipase (GL) (Gastric lipase) (EC 3.1.1.3)	LIPF	Homo sapiens (Human)	398
A8K8V0-1	A8K8V0	ZN785_HUMAN	reviewed	Zinc finger protein 785	ZNF785	Homo sapiens (Human)	405
Q96HH6-1	Q96HH6	TMM19_HUMAN	reviewed	Transmembrane protein 19	TMEM19	Homo sapiens (Human)	336
O14994	O14994	SYN3_HUMAN	reviewed	Synapsin-3 (Synapsin III)	SYN3	Homo sapiens (Human)	580
Q96AH0-1	Q96AH0	SOSB2_HUMAN	reviewed	SOSS complex subunit B2 (Nucleic acid-binding protein 1) (Oligonucleotide/oligosaccharide-binding fold-containing protein 2A) (Sensor of single-strand DNA complex subunit B2) (Sensor of ssDNA subunit B2) (SOSS-B2) (Single-stranded DNA-binding protein 2) (hSSB2)	NABP1 OBFC2A SSB2	Homo sapiens (Human)	204
Q8NFF5-2	Q8NFF5	FAD1_HUMAN	reviewed	FAD synthase (EC 2.7.7.2) (FAD pyrophosphorylase) (FMN adenylyltransferase) (Flavin adenine dinucleotide synthase) [Includes: Molybdenum cofactor biosynthesis protein-like region; FAD synthase region]	FLAD1 PP591	Homo sapiens (Human)	587
Q8TBP5	Q8TBP5	F174A_HUMAN	reviewed	Membrane protein FAM174A (Hepatitis C virus NS5A-transactivated protein 6) (HCV NS5A-transactivated protein 6) (Transmembrane protein 157)	FAM174A NS5ATP6 TMEM157 UNQ1912/PRO4371	Homo sapiens (Human)	190
O76076-1	O76076	CCN5_HUMAN	reviewed	CCN family member 5 (Connective tissue growth factor-like protein) (CTGF-L) (Connective tissue growth factor-related protein 58) (WNT1-inducible-signaling pathway protein 2) (WISP-2)	CCN5 CT58 CTGFL WISP2 UNQ228/PRO261	Homo sapiens (Human)	250
Q13526	Q13526	PIN1_HUMAN	reviewed	Peptidyl-prolyl cis-trans isomerase NIMA-interacting 1 (EC 5.2.1.8) (Peptidyl-prolyl cis-trans isomerase Pin1) (PPIase Pin1) (Rotamase Pin1)	PIN1	Homo sapiens (Human)	163
Q96LM6	Q96LM6	TEX37_HUMAN	reviewed	Testis-expressed sequence 37 protein (Testis-specific conserved protein of 21 kDa)	TEX37 C2orf51 TSC21	Homo sapiens (Human)	180
Q16873	Q16873	LTC4S_HUMAN	reviewed	Leukotriene C4 synthase (LTC4 synthase) (EC 4.4.1.20) (Leukotriene-C(4) synthase)	LTC4S	Homo sapiens (Human)	150
Q86VQ0	Q86VQ0	LCA5_HUMAN	reviewed	Lebercilin (Leber congenital amaurosis 5 protein)	LCA5 C6orf152	Homo sapiens (Human)	697
Q13077-1	Q13077	TRAF1_HUMAN	reviewed	TNF receptor-associated factor 1 (Epstein-Barr virus-induced protein 6)	TRAF1 EBI6	Homo sapiens (Human)	416
O75084	O75084	FZD7_HUMAN	reviewed	Frizzled-7 (Fz-7) (hFz7) (FzE3)	FZD7	Homo sapiens (Human)	574
Q7Z3K3-1	Q7Z3K3	POGZ_HUMAN	reviewed	Pogo transposable element with ZNF domain (Suppressor of hairy wing homolog 5) (Zinc finger protein 280E) (Zinc finger protein 635)	POGZ KIAA0461 SUHW5 ZNF280E ZNF635 Nbla00003	Homo sapiens (Human)	1410
P54274-2	P54274	TERF1_HUMAN	reviewed	Telomeric repeat-binding factor 1 (NIMA-interacting protein 2) (TTAGGG repeat-binding factor 1) (Telomeric protein Pin2/TRF1)	TERF1 PIN2 TRBF1 TRF TRF1	Homo sapiens (Human)	439
Q9NWM3-1	Q9NWM3	CUED1_HUMAN	reviewed	CUE domain-containing protein 1	CUEDC1	Homo sapiens (Human)	386
Q13277-1	Q13277	STX3_HUMAN	reviewed	Syntaxin-3	STX3 STX3A	Homo sapiens (Human)	289
A0A0B4J2F2	A0A0B4J2F2	SIK1B_HUMAN	reviewed	Probable serine/threonine-protein kinase SIK1B (EC 2.7.11.1) (Salt-inducible kinase 1B)	SIK1B	Homo sapiens (Human)	783
Q6S9Z5	Q6S9Z5	ZN474_HUMAN	reviewed	Zinc finger protein 474 (Testis-specific zinc finger protein) (TSZFP)	ZNF474	Homo sapiens (Human)	364
P79522-1	P79522	PRR3_HUMAN	reviewed	Proline-rich protein 3 (MHC class I region proline-rich protein CAT56)	PRR3 CAT56	Homo sapiens (Human)	188
A0A0C4DGW6	A0A0C4DGW6	A0A0C4DGW6_HUMAN	unreviewed	UPF0600 protein C5orf51	C5orf51	Homo sapiens (Human)	152
P0CG20	P0CG20	PRR35_HUMAN	reviewed	Proline-rich protein 35 (Uncharacterized protein RJD1)	PRR35 C16orf11	Homo sapiens (Human)	571
Q96GM5-1	Q96GM5	SMRD1_HUMAN	reviewed	SWI/SNF-related matrix-associated actin-dependent regulator of chromatin subfamily D member 1 (60 kDa BRG-1/Brm-associated factor subunit A) (BRG1-associated factor 60A) (BAF60A) (SWI/SNF complex 60 kDa subunit)	SMARCD1 BAF60A	Homo sapiens (Human)	515
Q08426-1	Q08426	ECHP_HUMAN	reviewed	Peroxisomal bifunctional enzyme (PBE) (PBFE) [Includes: Enoyl-CoA hydratase/3,2-trans-enoyl-CoA isomerase (EC 4.2.1.17) (EC 5.3.3.8); 3-hydroxyacyl-CoA dehydrogenase (EC 1.1.1.35)]	EHHADH ECHD	Homo sapiens (Human)	723
G5E9W6	G5E9W6	G5E9W6_HUMAN	unreviewed	Coiled-coil domain-containing protein 183 (HCG2039834, isoform CRA_c)	CCDC183 hCG_2039834	Homo sapiens (Human)	318
Q99757	Q99757	THIOM_HUMAN	reviewed	Thioredoxin, mitochondrial (MTRX) (Mt-Trx) (Thioredoxin-2)	TXN2 TRX2	Homo sapiens (Human)	166
Q8NHQ1-1	Q8NHQ1	CEP70_HUMAN	reviewed	Centrosomal protein of 70 kDa (Cep70) (p10-binding protein)	CEP70 BITE	Homo sapiens (Human)	597
Q9HBI0-1	Q9HBI0	PARVG_HUMAN	reviewed	Gamma-parvin	PARVG	Homo sapiens (Human)	331
Q9H2F3-1	Q9H2F3	3BHS7_HUMAN	reviewed	3 beta-hydroxysteroid dehydrogenase type 7 (3 beta-hydroxysteroid dehydrogenase type VII) (3-beta-HSD VII) (3-beta-hydroxy-Delta(5)-C27 steroid oxidoreductase) (C(27) 3-beta-HSD) (EC 1.1.1.-) (Cholest-5-ene-3-beta,7-alpha-diol 3-beta-dehydrogenase) (EC 1.1.1.181)	HSD3B7	Homo sapiens (Human)	369
Q15848	Q15848	ADIPO_HUMAN	reviewed	Adiponectin (30 kDa adipocyte complement-related protein) (Adipocyte complement-related 30 kDa protein) (ACRP30) (Adipocyte, C1q and collagen domain-containing protein) (Adipose most abundant gene transcript 1 protein) (apM-1) (Gelatin-binding protein)	ADIPOQ ACDC ACRP30 APM1 GBP28	Homo sapiens (Human)	244
O15075-2	O15075	DCLK1_HUMAN	reviewed	Serine/threonine-protein kinase DCLK1 (EC 2.7.11.1) (Doublecortin domain-containing protein 3A) (Doublecortin-like and CAM kinase-like 1) (Doublecortin-like kinase 1)	DCLK1 DCAMKL1 DCDC3A KIAA0369	Homo sapiens (Human)	740
P55209-1	P55209	NP1L1_HUMAN	reviewed	Nucleosome assembly protein 1-like 1 (NAP-1-related protein) (hNRP)	NAP1L1 NRP	Homo sapiens (Human)	391
P49023-2	P49023	PAXI_HUMAN	reviewed	Paxillin	PXN	Homo sapiens (Human)	591
Q53FD0-2	Q53FD0	ZC21C_HUMAN	reviewed	Zinc finger C2HC domain-containing protein 1C	ZC2HC1C C14orf140 FAM164C	Homo sapiens (Human)	456
P09211	P09211	GSTP1_HUMAN	reviewed	Glutathione S-transferase P (EC 2.5.1.18) (GST class-pi) (GSTP1-1)	GSTP1 FAEES3 GST3	Homo sapiens (Human)	210
P53611	P53611	PGTB2_HUMAN	reviewed	Geranylgeranyl transferase type-2 subunit beta (EC 2.5.1.60) (Geranylgeranyl transferase type II subunit beta) (GGTase-II-beta) (Rab geranyl-geranyltransferase subunit beta) (Rab GG transferase beta) (Rab GGTase beta) (Rab geranylgeranyltransferase subunit beta) (Type II protein geranyl-geranyltransferase subunit beta)	RABGGTB GGTB	Homo sapiens (Human)	331
Q99687-3	Q99687	MEIS3_HUMAN	reviewed	Homeobox protein Meis3 (Meis1-related protein 2)	MEIS3 MRG2	Homo sapiens (Human)	375
Q9H788-1	Q9H788	SH24A_HUMAN	reviewed	SH2 domain-containing protein 4A (Protein SH(2)A) (Protein phosphatase 1 regulatory subunit 38)	SH2D4A PPP1R38 SH2A	Homo sapiens (Human)	454
Q9BSE4	Q9BSE4	HERP2_HUMAN	reviewed	Homocysteine-responsive endoplasmic reticulum-resident ubiquitin-like domain member 2 protein	HERPUD2	Homo sapiens (Human)	406
O43189-1	O43189	PHF1_HUMAN	reviewed	PHD finger protein 1 (Protein PHF1) (hPHF1) (Polycomb-like protein 1) (hPCl1)	PHF1 PCL1	Homo sapiens (Human)	567
Q96NT3-2	Q96NT3	GUCD1_HUMAN	reviewed	Protein GUCD1 (Guanylyl cyclase domain-containing protein 1) (Protein LLN4)	GUCD1 C22orf13 LLN4	Homo sapiens (Human)	240
Q53GL0-1	Q53GL0	PKHO1_HUMAN	reviewed	Pleckstrin homology domain-containing family O member 1 (PH domain-containing family O member 1) (C-Jun-binding protein) (JBP) (Casein kinase 2-interacting protein 1) (CK2-interacting protein 1) (CKIP-1) (Osteoclast maturation-associated gene 120 protein)	PLEKHO1 CKIP1 OC120 HQ0024c	Homo sapiens (Human)	409
P04004	P04004	VTNC_HUMAN	reviewed	Vitronectin (VN) (S-protein) (Serum-spreading factor) (V75) [Cleaved into: Vitronectin V65 subunit; Vitronectin V10 subunit; Somatomedin-B]	VTN	Homo sapiens (Human)	478
P62979	P62979	RS27A_HUMAN	reviewed	Ubiquitin-40S ribosomal protein S27a (Ubiquitin carboxyl extension protein 80) [Cleaved into: Ubiquitin; 40S ribosomal protein S27a (Small ribosomal subunit protein eS31)]	RPS27A UBA80 UBCEP1	Homo sapiens (Human)	156
Q8IY42	Q8IY42	CD019_HUMAN	reviewed	Uncharacterized protein C4orf19	C4orf19	Homo sapiens (Human)	314
P02538	P02538	K2C6A_HUMAN	reviewed	Keratin, type II cytoskeletal 6A (Cytokeratin-6A) (CK-6A) (Cytokeratin-6D) (CK-6D) (Keratin-6A) (K6A) (Type-II keratin Kb6) (allergen Hom s 5)	KRT6A K6A KRT6D	Homo sapiens (Human)	564
O95867	O95867	LY66C_HUMAN	reviewed	Lymphocyte antigen 6 complex locus protein G6c	LY6G6C C6orf24 G6C NG24 UNQ1947/PRO4430	Homo sapiens (Human)	125
Q6ZRY4-1	Q6ZRY4	RBPS2_HUMAN	reviewed	RNA-binding protein with multiple splicing 2	RBPMS2	Homo sapiens (Human)	209
B0YJ81-1	B0YJ81	HACD1_HUMAN	reviewed	Very-long-chain (3R)-3-hydroxyacyl-CoA dehydratase 1 (EC 4.2.1.134) (3-hydroxyacyl-CoA dehydratase 1) (HACD1) (Cementum-attachment protein) (CAP) (Protein-tyrosine phosphatase-like member A)	HACD1 PTPLA	Homo sapiens (Human)	288
A6H8Z2-1	A6H8Z2	F221B_HUMAN	reviewed	Protein FAM221B	FAM221B C9orf128	Homo sapiens (Human)	402
A0AV96-1	A0AV96	RBM47_HUMAN	reviewed	RNA-binding protein 47 (RNA-binding motif protein 47)	RBM47	Homo sapiens (Human)	593
Q96EC8-1	Q96EC8	YIPF6_HUMAN	reviewed	Protein YIPF6 (YIP1 family member 6)	YIPF6	Homo sapiens (Human)	236
P13647	P13647	K2C5_HUMAN	reviewed	Keratin, type II cytoskeletal 5 (58 kDa cytokeratin) (Cytokeratin-5) (CK-5) (Keratin-5) (K5) (Type-II keratin Kb5)	KRT5	Homo sapiens (Human)	590
P35240-4	P35240	MERL_HUMAN	reviewed	Merlin (Moesin-ezrin-radixin-like protein) (Neurofibromin-2) (Schwannomerlin) (Schwannomin)	NF2 SCH	Homo sapiens (Human)	595
Q9UBR2	Q9UBR2	CATZ_HUMAN	reviewed	Cathepsin Z (EC 3.4.18.1) (Cathepsin P) (Cathepsin X)	CTSZ	Homo sapiens (Human)	303
Q13422-7	Q13422	IKZF1_HUMAN	reviewed	DNA-binding protein Ikaros (Ikaros family zinc finger protein 1) (Lymphoid transcription factor LyF-1)	IKZF1 IK1 IKAROS LYF1 ZNFN1A1	Homo sapiens (Human)	519
P36021	P36021	MOT8_HUMAN	reviewed	Monocarboxylate transporter 8 (MCT 8) (Monocarboxylate transporter 7) (MCT 7) (Solute carrier family 16 member 2) (X-linked PEST-containing transporter)	SLC16A2 MCT8 XPCT	Homo sapiens (Human)	539
Q6A162	Q6A162	K1C40_HUMAN	reviewed	Keratin, type I cytoskeletal 40 (Cytokeratin-40) (CK-40) (Keratin-40) (K40) (Type I hair keratin Ka36)	KRT40 KA36	Homo sapiens (Human)	431
E5RGB3	E5RGB3	E5RGB3_HUMAN	unreviewed	Tripartite motif-containing protein 35	TRIM35	Homo sapiens (Human)	266
Q16585-1	Q16585	SGCB_HUMAN	reviewed	Beta-sarcoglycan (Beta-SG) (43 kDa dystrophin-associated glycoprotein) (43DAG) (A3b)	SGCB	Homo sapiens (Human)	318
P48165	P48165	CXA8_HUMAN	reviewed	Gap junction alpha-8 protein (Connexin-50) (Cx50) (Lens fiber protein MP70)	GJA8	Homo sapiens (Human)	433
P06028-1	P06028	GLPB_HUMAN	reviewed	Glycophorin-B (PAS-3) (SS-active sialoglycoprotein) (Sialoglycoprotein delta) (CD antigen CD235b)	GYPB GPB	Homo sapiens (Human)	91
A8MTA8-2	A8MTA8	F166B_HUMAN	reviewed	Protein FAM166B	FAM166B	Homo sapiens (Human)	275
O75293	O75293	GA45B_HUMAN	reviewed	Growth arrest and DNA damage-inducible protein GADD45 beta (Myeloid differentiation primary response protein MyD118) (Negative growth regulatory protein MyD118)	GADD45B MYD118	Homo sapiens (Human)	160
P58418-3	P58418	CLRN1_HUMAN	reviewed	Clarin-1 (Usher syndrome type-3 protein)	CLRN1 USH3A	Homo sapiens (Human)	232
Q3SY00-1	Q3SY00	T10IP_HUMAN	reviewed	Testis-specific protein 10-interacting protein (Tsga10-interacting protein)	TSGA10IP	Homo sapiens (Human)	556
O14777	O14777	NDC80_HUMAN	reviewed	Kinetochore protein NDC80 homolog (Highly expressed in cancer protein) (Kinetochore protein Hec1) (HsHec1) (Kinetochore-associated protein 2) (Retinoblastoma-associated protein HEC)	NDC80 HEC HEC1 KNTC2	Homo sapiens (Human)	642
O76011	O76011	KRT34_HUMAN	reviewed	Keratin, type I cuticular Ha4 (Hair keratin, type I Ha4) (Keratin-34) (K34)	KRT34 HHA4 HKA4 KRTHA4	Homo sapiens (Human)	436
P57055-1	P57055	DSCR6_HUMAN	reviewed	Protein ripply3 (Down syndrome critical region protein 6)	RIPPLY3 DSCR6	Homo sapiens (Human)	190
Q96KC2	Q96KC2	ARL5B_HUMAN	reviewed	ADP-ribosylation factor-like protein 5B (ADP-ribosylation factor-like protein 8)	ARL5B ARL8	Homo sapiens (Human)	179
O43711	O43711	TLX3_HUMAN	reviewed	T-cell leukemia homeobox protein 3 (Homeobox protein Hox-11L2)	TLX3 HOX11L2	Homo sapiens (Human)	291
Q9BVV2	Q9BVV2	FND11_HUMAN	reviewed	Fibronectin type III domain-containing protein 11	FNDC11 C20orf195	Homo sapiens (Human)	318
Q01081-1	Q01081	U2AF1_HUMAN	reviewed	Splicing factor U2AF 35 kDa subunit (U2 auxiliary factor 35 kDa subunit) (U2 small nuclear RNA auxiliary factor 1) (U2 snRNP auxiliary factor small subunit)	U2AF1 U2AF35 U2AFBP FP793	Homo sapiens (Human)	240
Q6L8G9	Q6L8G9	KRA56_HUMAN	reviewed	Keratin-associated protein 5-6 (Keratin-associated protein 5.6) (Ultrahigh sulfur keratin-associated protein 5.6)	KRTAP5-6 KAP5.6 KRTAP5.6	Homo sapiens (Human)	129
P19397	P19397	CD53_HUMAN	reviewed	Leukocyte surface antigen CD53 (Cell surface glycoprotein CD53) (Tetraspanin-25) (Tspan-25) (CD antigen CD53)	CD53 MOX44 TSPAN25	Homo sapiens (Human)	219
Q15014	Q15014	MO4L2_HUMAN	reviewed	Mortality factor 4-like protein 2 (MORF-related gene X protein) (Protein MSL3-2) (Transcription factor-like protein MRGX)	MORF4L2 KIAA0026 MRGX	Homo sapiens (Human)	288
Q6IN84-1	Q6IN84	MRM1_HUMAN	reviewed	rRNA methyltransferase 1, mitochondrial (EC 2.1.1.-) (16S rRNA (guanosine(1145)-2'-O)-methyltransferase) (16S rRNA [Gm1145] 2'-O-methyltransferase)	MRM1	Homo sapiens (Human)	353
P08247-1	P08247	SYPH_HUMAN	reviewed	Synaptophysin (Major synaptic vesicle protein p38)	SYP	Homo sapiens (Human)	313
O75140-2	O75140	DEPD5_HUMAN	reviewed	GATOR complex protein DEPDC5 (DEP domain-containing protein 5)	DEPDC5 KIAA0645	Homo sapiens (Human)	1603
Q96QK1	Q96QK1	VPS35_HUMAN	reviewed	Vacuolar protein sorting-associated protein 35 (hVPS35) (Maternal-embryonic 3) (Vesicle protein sorting 35)	VPS35 MEM3 TCCCTA00141	Homo sapiens (Human)	796
P49842-2	P49842	STK19_HUMAN	reviewed	Serine/threonine-protein kinase 19 (EC 2.7.11.1) (Protein G11) (Protein RP1)	STK19 G11 RP1	Homo sapiens (Human)	368
O95219-1	O95219	SNX4_HUMAN	reviewed	Sorting nexin-4	SNX4	Homo sapiens (Human)	450
Q52LG2	Q52LG2	KR132_HUMAN	reviewed	Keratin-associated protein 13-2	KRTAP13-2 KAP13.2	Homo sapiens (Human)	175
O75208-1	O75208	COQ9_HUMAN	reviewed	Ubiquinone biosynthesis protein COQ9, mitochondrial	COQ9 C16orf49 HSPC326 PSEC0129	Homo sapiens (Human)	318
H0YKB7	H0YKB7	H0YKB7_HUMAN	unreviewed	Pro-interleukin-16	IL16	Homo sapiens (Human)	454
Q3V5L5-5	Q3V5L5	MGT5B_HUMAN	reviewed	Alpha-1,6-mannosylglycoprotein 6-beta-N-acetylglucosaminyltransferase B (EC 2.4.1.-) (EC 2.4.1.155) (Alpha-mannoside beta-1,6-N-acetylglucosaminyltransferase B) (GlcNAc-T Vb) (GNT-Vb) (hGnTVb) (Mannoside acetylglucosaminyltransferase 5B) (N-acetylglucosaminyl-transferase Vb) (N-acetylglucosaminyltransferase IX) (GNT-IX)	MGAT5B KIAA2008	Homo sapiens (Human)	792
Q8N5M9	Q8N5M9	JAGN1_HUMAN	reviewed	Protein jagunal homolog 1	JAGN1	Homo sapiens (Human)	183
Q5JST6-1	Q5JST6	EFHC2_HUMAN	reviewed	EF-hand domain-containing family member C2	EFHC2	Homo sapiens (Human)	749
Q8N5M4-1	Q8N5M4	TTC9C_HUMAN	reviewed	Tetratricopeptide repeat protein 9C (TPR repeat protein 9C)	TTC9C	Homo sapiens (Human)	171
P62851	P62851	RS25_HUMAN	reviewed	40S ribosomal protein S25 (Small ribosomal subunit protein eS25)	RPS25	Homo sapiens (Human)	125
Q8WV19	Q8WV19	SFT2A_HUMAN	reviewed	Vesicle transport protein SFT2A (SFT2 domain-containing protein 1) (pRGR1)	SFT2D1 C6orf83	Homo sapiens (Human)	159
Q8N720-1	Q8N720	ZN655_HUMAN	reviewed	Zinc finger protein 655 (Vav-interacting Krueppel-like protein)	ZNF655 VIK	Homo sapiens (Human)	491
A0A087X279	A0A087X279	A0A087X279_HUMAN	unreviewed	Interferon-induced protein with tetratricopeptide repeats 2	IFIT2	Homo sapiens (Human)	483
Q96ED9-2	Q96ED9	HOOK2_HUMAN	reviewed	Protein Hook homolog 2 (h-hook2) (hHK2)	HOOK2	Homo sapiens (Human)	719
P62316-1	P62316	SMD2_HUMAN	reviewed	Small nuclear ribonucleoprotein Sm D2 (Sm-D2) (snRNP core protein D2)	SNRPD2 SNRPD1	Homo sapiens (Human)	118
P23511-2	P23511	NFYA_HUMAN	reviewed	Nuclear transcription factor Y subunit alpha (CAAT box DNA-binding protein subunit A) (Nuclear transcription factor Y subunit A) (NF-YA)	NFYA	Homo sapiens (Human)	347
